10&U Female LCM (2025-2028)
Event,B,BB,A,AA,AAA,AAAA
50 FR,43.29,39.99,36.59,34.99,33.29,31.69
100 FR,1:36.19,1:29.79,1:23.49,1:19.99,1:16.49,1:13.09
200 FR,3:26.59,3:14.29,3:01.99,2:55.79,2:49.69,2:43.49
400 FR,7:07.79,6:44.29,6:20.69,6:08.89,5:57.09,5:45.29
50 BK,50.79,46.89,42.99,41.09,39.19,37.29
100 BK,1:49.09,1:41.29,1:33.49,1:29.59,1:25.69,1:21.79
50 BR,57.79,53.39,48.99,46.79,44.59,42.39
100 BR,2:06.69,1:58.09,1:49.49,1:45.19,1:40.89,1:36.59
50 FL,50.09,46.19,42.39,40.39,38.49,36.59
100 FL,1:58.39,1:49.09,1:39.79,1:34.99,1:30.29,1:25.59
200 IM,3:54.09,3:39.69,3:25.29,3:18.09,3:10.89,3:03.69
