Event,B,BB,A,AA,AAA,AAAA
50 FR,37.89,35.09,32.39,30.99,29.59,28.19
100 FR,1:25.19,1:19.69,1:14.19,1:11.39,1:08.59,1:05.79
200 FR,3:03.99,2:52.39,2:40.79,2:34.99,2:29.19,2:23.39
500 FR,8:11.19,7:43.39,7:15.59,7:01.69,6:47.79,6:33.89
50 BK,44.19,40.99,37.79,36.09,34.49,32.89
100 BK,1:36.19,1:29.49,1:22.79,1:19.49,1:16.19,1:12.79
50 BR,50.19,46.49,42.89,41.09,39.19,37.39
100 BR,1:51.19,1:43.69,1:36.19,1:32.49,1:28.69,1:24.99
50 FL,43.59,40.29,36.99,35.29,33.59,31.89
100 FL,1:43.69,1:35.69,1:27.59,1:23.59,1:19.59,1:15.59
100 IM,1:37.39,1:30.79,1:24.19,1:20.89,1:17.59,1:14.29
200 IM,3:28.49,3:15.69,3:02.99,2:56.59,2:50.19,2:43.79
