Event,B,BB,A,AA,AAA,AAAA
50 FR,42.69,39.49,36.19,34.59,32.99,31.39
100 FR,1:34.69,1:28.39,1:22.09,1:18.69,1:15.29,1:11.89
200 FR,3:23.59,3:11.39,2:59.19,2:53.09,2:46.99,2:40.89
400 FR,7:02.19,6:39.09,6:15.89,6:04.29,5:52.69,5:41.09
50 BK,50.19,46.39,42.59,40.69,38.79,36.89
100 BK,1:48.09,1:40.29,1:32.59,1:28.69,1:24.79,1:20.89
50 BR,57.09,52.79,48.49,46.29,44.09,41.89
100 BR,2:05.59,1:56.99,1:48.49,1:44.19,1:39.89,1:35.59
50 FL,49.49,45.69,41.89,39.99,38.09,36.09
100 FL,1:56.79,1:47.59,1:38.39,1:33.79,1:29.19,1:24.59
200 IM,3:51.19,3:36.99,3:22.89,3:15.79,3:08.69,3:01.59
