10&U Male SCY (2025-2028)
Event,B,BB,A,AA,AAA,AAAA
50 FR,37.79,34.99,32.19,30.79,29.39,27.99
100 FR,1:24.89,1:19.39,1:13.89,1:11.09,1:08.29,1:05.49
200 FR,3:03.39,2:51.79,2:40.29,2:34.49,2:28.69,2:22.89
500 FR,8:09.49,7:41.79,7:14.09,6:59.99,6:45.89,6:31.79
50 BK,44.09,40.89,37.69,35.99,34.39,32.79
100 BK,1:35.89,1:29.19,1:22.49,1:19.19,1:15.89,1:12.49
50 BR,49.99,46.39,42.79,40.89,39.09,37.19
100 BR,1:50.79,1:43.29,1:35.89,1:32.09,1:28.39,1:24.59
50 FL,43.49,40.19,36.89,35.19,33.49,31.79
100 FL,1:43.29,1:35.29,1:27.29,1:23.29,1:19.29,1:15.29
100 IM,1:36.99,1:30.49,1:23.89,1:20.59,1:17.29,1:13.99
200 IM,3:27.79,3:15.09,3:02.39,2:55.99,2:49.69,2:43.29
