11-12 Male SCY (2025-2028)
Event,B,BB,A,AA,AAA,AAAA
50 FR,30.99,28.79,26.59,25.49,24.39,23.29
100 FR,1:07.59,1:02.69,57.79,55.29,52.89,50.39
200 FR,2:25.99,2:15.39,2:04.79,1:59.49,1:54.19,1:48.89
500 FR,6:34.79,6:06.69,5:38.69,5:24.59,5:10.59,4:56.59
1000 FR,13:46.39,12:44.29,11:47.09,11:18.09,10:48.99,10:19.89
1650 FR,22:47.99,21:05.99,19:30.39,18:42.59,17:54.79,17:06.99
50 BK,36.39,33.79,31.19,29.89,28.59,27.29
100 BK,1:18.59,1:12.99,1:07.39,1:04.59,1:01.79,58.99
200 BK,2:48.89,2:36.69,2:24.49,2:18.39,2:12.29,2:06.19
50 BR,40.79,37.89,34.89,33.39,31.89,30.39
100 BR,1:28.49,1:22.09,1:15.69,1:12.49,1:09.29,1:06.09
200 BR,3:10.79,2:57.39,2:44.09,2:37.39,2:30.69,2:23.99
50 FL,34.69,32.09,29.49,28.19,26.89,25.59
100 FL,1:16.89,1:10.69,1:04.49,1:01.39,58.29,55.19
200 FL,2:57.09,2:43.99,2:30.89,2:24.29,2:17.79,2:11.19
100 IM,1:17.49,1:11.79,1:06.09,1:03.19,1:00.29,57.39
200 IM,2:46.19,2:34.29,2:22.39,2:16.49,2:10.49,2:04.59
400 IM,5:59.39,5:34.49,5:09.59,4:57.09,4:44.69,4:32.19
