Event,B,BB,A,AA,AAA,AAAA
50 FR,35.29,32.59,29.99,28.69,27.39,26.09
100 FR,1:16.09,1:10.69,1:05.19,1:02.49,59.69,56.99
200 FR,2:45.09,2:33.39,2:21.69,2:15.89,2:10.09,2:04.19
400 FR,5:47.09,5:24.09,5:01.09,4:49.59,4:38.09,4:26.59
800 FR,12:03.49,11:13.69,10:23.99,9:59.09,9:34.19,9:09.29
1500 FR,22:58.89,21:15.89,19:38.39,18:49.59,18:00.89,17:12.09
50 BK,41.59,38.39,35.19,33.59,31.99,30.39
100 BK,1:30.19,1:23.59,1:16.99,1:13.69,1:10.39,1:07.09
200 BK,3:11.49,2:58.09,2:44.79,2:38.09,2:31.39,2:24.69
50 BR,46.09,42.59,39.09,37.39,35.59,33.89
100 BR,1:40.49,1:33.09,1:25.69,1:21.99,1:18.29,1:14.59
200 BR,3:34.39,3:19.49,3:04.59,2:57.09,2:49.69,2:42.19
50 FL,38.99,35.99,32.99,31.49,29.99,28.49
100 FL,1:29.09,1:22.49,1:15.89,1:12.59,1:09.19,1:05.89
200 FL,3:20.59,3:06.09,2:51.59,2:44.29,2:37.09,2:29.79
200 IM,3:06.69,2:53.89,2:40.99,2:34.59,2:28.09,2:21.69
400 IM,6:38.09,6:11.89,5:45.69,5:32.59,5:19.49,5:06.39
