13-14 Female SCY (2025-2028)
Event,B,BB,A,AA,AAA,AAAA
50 FR,29.49,27.29,25.09,23.99,22.89,21.79
100 FR,1:03.99,58.99,54.09,51.59,49.09,46.59
200 FR,2:17.89,2:07.49,1:57.09,1:51.89,1:46.69,1:41.49
500 FR,6:10.59,5:43.79,5:16.99,5:03.59,4:50.19,4:36.79
1000 FR,12:49.09,11:51.09,10:53.09,10:24.09,9:55.09,9:26.09
1650 FR,21:23.29,19:48.39,18:13.39,17:25.89,16:38.39,15:50.89
100 BK,1:12.39,1:07.09,1:01.79,59.09,56.39,53.69
200 BK,2:36.19,2:25.09,2:13.89,2:08.29,2:02.69,1:57.09
100 BR,1:23.09,1:17.39,1:11.59,1:08.79,1:05.89,1:02.99
200 BR,2:58.39,2:46.09,2:33.79,2:27.59,2:21.49,2:15.29
100 FL,1:13.19,1:07.79,1:02.39,59.69,56.99,54.29
200 FL,2:41.59,2:30.09,2:18.59,2:12.79,2:07.09,2:01.29
200 IM,2:36.09,2:24.89,2:13.79,2:08.19,2:02.69,1:57.09
400 IM,5:34.29,5:09.69,4:45.09,4:32.79,4:20.49,4:08.19
