13-14 Male LCM (2025-2028)
Event,B,BB,A,AA,AAA,AAAA
50 FR,30.79,28.59,26.49,25.39,24.29,23.19
100 FR,1:06.89,1:01.99,57.19,54.79,52.39,49.99
200 FR,2:25.09,2:14.59,2:04.09,1:58.79,1:53.49,1:48.19
400 FR,5:09.89,4:48.79,4:27.69,4:16.99,4:06.39,3:55.79
800 FR,10:45.09,10:00.89,9:16.69,8:54.59,8:32.49,8:10.39
1500 FR,20:34.99,19:03.89,17:32.79,16:47.19,16:01.69,15:16.09
100 BK,1:16.29,1:10.99,1:05.69,1:03.09,1:00.49,57.79
200 BK,2:43.79,2:31.99,2:20.19,2:14.29,2:08.39,2:02.49
100 BR,1:27.29,1:21.29,1:15.29,1:12.29,1:09.29,1:06.29
200 BR,3:08.59,2:55.39,2:42.19,2:35.59,2:28.99,2:22.39
100 FL,1:14.89,1:09.59,1:04.29,1:01.59,58.99,56.29
200 FL,2:47.09,2:35.09,2:23.09,2:17.09,2:11.09,2:05.09
200 IM,2:43.59,2:31.89,2:20.19,2:14.29,2:08.49,2:02.59
400 IM,5:47.99,5:22.99,4:57.99,4:45.49,4:32.99,4:20.49
