Event,B,BB,A,AA,AAA,AAAA
50 FR,27.79,25.69,23.59,22.49,21.39,20.29
100 FR,1:00.89,56.19,51.49,49.09,46.79,44.39
200 FR,2:11.49,2:01.49,1:51.49,1:46.49,1:41.49,1:36.49
500 FR,5:56.59,5:30.89,5:05.19,4:52.29,4:39.49,4:26.59
1000 FR,12:21.09,11:25.19,10:29.19,10:01.29,9:33.29,9:05.29
1650 FR,20:43.09,19:11.29,17:39.49,16:53.59,16:07.69,15:21.79
100 BK,1:08.59,1:03.49,58.49,55.99,53.49,50.99
200 BK,2:27.89,2:17.39,2:06.89,2:01.59,1:56.29,1:50.99
100 BR,1:17.99,1:12.59,1:07.19,1:04.49,1:01.79,59.09
200 BR,2:48.39,2:36.69,2:24.99,2:19.09,2:13.29,2:07.39
100 FL,1:08.19,1:03.19,58.19,55.69,53.19,50.69
200 FL,2:32.49,2:21.59,2:10.79,2:05.29,1:59.89,1:54.39
200 IM,2:27.79,2:17.29,2:06.79,2:01.49,1:56.29,1:50.99
400 IM,5:14.39,4:50.99,4:27.59,4:15.89,4:04.19,3:52.49
